created_at	id	id_str	text	truncated	source	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	in_reply_to_screen_name	geo	coordinates	place	contributors	is_quote_status	retweet_count	favorite_count	favorited	retweeted	possibly_sensitive	lang	entities.hashtags	entities.symbols	entities.user_mentions	entities.urls	entities.media	extended_entities.media	metadata.iso_language_code	metadata.result_type	user.id	user.id_str
Sun Oct 23 21:59:01 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 🔴🎙 XAVI: ❞𝐄𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑 𝐞𝐫𝐚 𝐩𝐚𝐫𝐚 𝐆𝐀𝐍𝐀𝐑 el partido, 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐌𝐎𝐒 𝐌𝐔𝐘 𝐁𝐈𝐄𝐍❞. 

😳 ""En #ElClásico, el Real MADRID fue má…"	FALSE	<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>										FALSE	13	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [106, 116]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	520592414	520592414
Sun Oct 23 21:52:29 +0000 2022	1.5843E+18	1.5843E+18	"RT @LILGIORDAN: How much I miss seeing these 2 guys on the pitch🥶 

#FCBarcelona #ElClasico #RealMadridBarcelona #Neymar #Messi𓃵 https://t.…"	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>										FALSE	2	0	FALSE	FALSE		en	[{'text': 'FCBarcelona', 'indices': [68, 80]}, {'text': 'ElClasico', 'indices': [81, 91]}, {'text': 'RealMadridBarcelona', 'indices': [92, 112]}, {'text': 'Neymar', 'indices': [113, 120]}, {'text': 'Messi𓃵', 'indices': [121, 128]}]	[]	[{'screen_name': 'LILGIORDAN', 'name': '❄️', 'id': 1052110990328954880, 'id_str': '1052110990328954880', 'indices': [3, 14]}]	[]			en	recent	1076795178	1076795178
Sun Oct 23 21:52:12 +0000 2022	1.5843E+18	1.5843E+18	Średnia Barca ograła nieistniejący kompletnie Athletic. Polscy dziennikarze w zachwycie, zęby bolą od tej słodyczy.… https://t.co/6AhVWmUIo7	TRUE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	0	0	FALSE	FALSE		pl	[]	[]	[]	[{'url': 'https://t.co/6AhVWmUIo7', 'expanded_url': 'https://twitter.com/i/web/status/1584301688248102912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]			pl	recent	388507517	388507517
Sun Oct 23 21:50:39 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 🔴🎙 XAVI: ❞𝐄𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑 𝐞𝐫𝐚 𝐩𝐚𝐫𝐚 𝐆𝐀𝐍𝐀𝐑 el partido, 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐌𝐎𝐒 𝐌𝐔𝐘 𝐁𝐈𝐄𝐍❞. 

😳 ""En #ElClásico, el Real MADRID fue má…"	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>										FALSE	13	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [106, 116]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	1.26723E+18	1.26723E+18
Sun Oct 23 21:48:37 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 🔴🎙 XAVI: ❞𝐄𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑 𝐞𝐫𝐚 𝐩𝐚𝐫𝐚 𝐆𝐀𝐍𝐀𝐑 el partido, 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐌𝐎𝐒 𝐌𝐔𝐘 𝐁𝐈𝐄𝐍❞. 

😳 ""En #ElClásico, el Real MADRID fue má…"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	13	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [106, 116]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	9.82325E+17	9.82325E+17
Sun Oct 23 21:47:54 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 🔴🎙 XAVI: ❞𝐄𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑 𝐞𝐫𝐚 𝐩𝐚𝐫𝐚 𝐆𝐀𝐍𝐀𝐑 el partido, 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐌𝐎𝐒 𝐌𝐔𝐘 𝐁𝐈𝐄𝐍❞. 

😳 ""En #ElClásico, el Real MADRID fue má…"	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>										FALSE	13	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [106, 116]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	1.42542E+18	1.42542E+18
Sun Oct 23 21:47:18 +0000 2022	1.5843E+18	1.5843E+18	"🔴🎙 XAVI: ❞𝐄𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑 𝐞𝐫𝐚 𝐩𝐚𝐫𝐚 𝐆𝐀𝐍𝐀𝐑 el partido, 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐌𝐎𝐒 𝐌𝐔𝐘 𝐁𝐈𝐄𝐍❞. 

😳 ""En #ElClásico, el Real MADRID fue… https://t.co/GD9iVaulQ8"	TRUE	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>										FALSE	13	151	FALSE	FALSE	FALSE	es	[{'text': 'ElClásico', 'indices': [85, 95]}]	[]	[]	[{'url': 'https://t.co/GD9iVaulQ8', 'expanded_url': 'https://twitter.com/i/web/status/1584300457328975872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]			es	recent	18905975	18905975
Sun Oct 23 21:47:10 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 😕 ""𝐍𝐎 𝐕𝐈 𝐁𝐀𝐉𝐎́𝐍 𝐞𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑. No jugamos mal al fútbol"" 

😳 ""En #ElClásico no estuvimos a nuestro nivel, pero 𝐚𝐧𝐭…"	FALSE	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>										FALSE	6	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [90, 100]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	1.27627E+18	1.27627E+18
Sun Oct 23 21:45:17 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 😕 ""𝐍𝐎 𝐕𝐈 𝐁𝐀𝐉𝐎́𝐍 𝐞𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑. No jugamos mal al fútbol"" 

😳 ""En #ElClásico no estuvimos a nuestro nivel, pero 𝐚𝐧𝐭…"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	6	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [90, 100]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	8.55831E+17	8.55831E+17
Sun Oct 23 21:43:44 +0000 2022	1.5843E+18	1.5843E+18	"RT @elchiringuitotv: 😕 ""𝐍𝐎 𝐕𝐈 𝐁𝐀𝐉𝐎́𝐍 𝐞𝐥 𝐃𝐈́𝐀 𝐃𝐄𝐋 𝐈𝐍𝐓𝐄𝐑. No jugamos mal al fútbol"" 

😳 ""En #ElClásico no estuvimos a nuestro nivel, pero 𝐚𝐧𝐭…"	FALSE	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>										FALSE	6	0	FALSE	FALSE		es	[{'text': 'ElClásico', 'indices': [90, 100]}]	[]	[{'screen_name': 'elchiringuitotv', 'name': 'El Chiringuito TV', 'id': 18905975, 'id_str': '18905975', 'indices': [3, 19]}]	[]			es	recent	9.82325E+17	9.82325E+17
